Date,Price,Open,High,Low,Vol.,Change %
03/22/2023,283.125,284.125,284.125,279.5,0.03K,0.73%
03/21/2023,281.06,284.5,284.5,279.63,0.02K,-0.06%
03/20/2023,281.22,278.25,284.625,278.25,0.05K,-0.10%
03/17/2023,281.5,282.875,283.375,278.13,0.02K,-0.53%
03/16/2023,283,282.875,283.375,278.75,0.02K,0.00%
03/15/2023,283,282.125,283.375,279.5,0.02K,2.30%
03/14/2023,276.65,282.125,282.45,278.63,0.02K,-1.79%
03/13/2023,281.7,277.25,282.475,277.25,0.02K,0.59%
03/10/2023,280.05,281,283.15,275.75,0.03K,0.92%
03/09/2023,277.5,279.125,284,275.75,0.05K,0.00%
03/08/2023,277.5,277.125,279.375,274.88,0.03K,0.36%
03/07/2023,276.5,276,278.25,272.5,0.02K,0.47%
03/06/2023,275.2,278.41,279.365,272.5,0.04K,-0.11%
03/03/2023,275.5,282.5,282.95,274.75,0.03K,-2.10%
03/02/2023,281.4,265.5,284,264.5,0.14K,7.82%
03/01/2023,261,262,267.14,260.735,0.03K,0.00%
02/28/2023,261,260.5,262.125,258.625,0.02K,0.58%
02/27/2023,259.5,260.125,260.6,257.75,0.01K,-0.08%
02/24/2023,259.7,260.75,262.875,257.95,0.02K,-1.07%
02/23/2023,262.5,261.375,262.875,258.725,0.02K,0.48%
02/22/2023,261.24,262.125,263,259.5,0.03K,-0.38%
02/21/2023,262.24,261.625,264.25,260.375,0.03K,0.28%
02/20/2023,261.5,261.5,262.875,259.815,0.03K,-0.28%
02/17/2023,262.24,263.5,266.15,260.5,0.03K,-1.12%
02/16/2023,265.22,266.15,266.98,262.25,0.03K,-0.20%
02/15/2023,265.75,267.25,267.5,262.75,0.04K,-0.47%
02/14/2023,267,269,269.725,264.5,0.03K,-0.84%
02/13/2023,269.25,267.38,270.25,267,0.02K,0.00%
02/10/2023,269.25,269,271.5,266.5,0.03K,0.00%
02/09/2023,269.25,274.25,274.5,269.5,0.01K,-1.75%
02/08/2023,274.05,272.5,276.4,271.5,0.02K,-0.67%
02/07/2023,275.9,274.5,276.5,274.5,0.01K,0.40%
02/06/2023,274.8,276.5,276.5,270.5,0.02K,0.12%
02/03/2023,274.46,270.25,275.5,270.25,0.01K,1.46%
02/02/2023,270.5,268.75,270.95,268.25,0.02K,1.50%
02/01/2023,266.5,265.25,268.78,265.25,0.01K,-0.37%
01/31/2023,267.5,270.25,270.5,266.75,0.02K,1.87%
01/30/2023,262.6,260.25,263.05,259.995,0.01K,-0.17%
01/27/2023,263.05,250.5,263.05,250.39,0.00K,5.01%
01/26/2023,250.5,231.775,250.5,231.125,0.41K,8.18%
01/25/2023,231.55,231.5,231.785,230.75,1.13K,0.24%
01/24/2023,231,231.375,231.52,230.15,1.08K,0.11%
01/23/2023,230.75,229.875,231.385,229.15,0.75K,0.44%
01/20/2023,229.75,229.925,230.175,229.5,1.25K,-0.04%
01/19/2023,229.85,229.625,229.935,228.875,0.70K,0.26%
01/18/2023,229.25,229.5,229.635,228.75,0.53K,0.11%
01/17/2023,229,228.875,229.51,228.525,0.55K,0.11%
01/16/2023,228.75,228.8,228.925,228.425,0.52K,0.07%
01/13/2023,228.6,228.665,228.925,228,0.48K,0.12%
01/12/2023,228.33,228.54,228.69,227.875,0.85K,0.11%
01/11/2023,228.08,228.54,228.565,227.875,0.64K,0.00%
01/10/2023,228.08,228.285,228.54,227.475,1.07K,0.22%
01/09/2023,227.57,228.225,228.295,227.35,0.69K,0.05%
01/06/2023,227.45,228.125,228.235,227,0.53K,0.09%
01/05/2023,227.25,226.95,228.125,226.875,0.48K,0.42%
01/04/2023,226.29,226.9,227.22,226.645,0.01K,-0.09%
01/03/2023,226.5,226.7,227.15,226.45,0.42K,0.04%
01/02/2023,226.4,226.7,226.7,226.7,,0.00%
12/30/2022,226.4,226.7,226.865,226.25,0.47K,0.00%
12/29/2022,226.4,226.75,226.76,225.75,0.54K,-0.04%
12/28/2022,226.5,226.625,226.825,225.875,0.53K,0.11%
12/27/2022,226.25,226.375,226.635,225.75,0.51K,0.22%
12/26/2022,225.75,226.375,226.375,225.475,0.36K,0.00%
12/23/2022,225.75,226.25,226.385,225.375,0.54K,0.11%
12/22/2022,225.5,226.25,226.26,225.25,0.50K,0.00%
12/21/2022,225.5,226.125,226.26,225,0.56K,0.11%
12/20/2022,225.25,224.9,226.175,224.725,0.29K,0.33%
12/19/2022,224.5,224.875,225.25,224.675,0.01K,0.00%
12/16/2022,224.5,224.875,225.225,224.5,0.36K,-0.11%
12/15/2022,224.75,224.875,225.15,224.5,0.88K,0.00%
12/14/2022,224.75,224.875,225.125,224.625,0.73K,0.00%
12/13/2022,224.75,224.875,225.125,224.45,0.79K,0.00%
12/12/2022,224.75,224,224.885,224,0.52K,0.11%
12/09/2022,224.5,224.75,224.8,223.375,1.04K,0.00%
12/08/2022,224.5,224.625,224.76,223.625,1.09K,0.11%
12/07/2022,224.25,224.625,224.635,223.625,0.79K,0.00%
12/06/2022,224.25,224.5,224.645,223.625,1.09K,0.11%
12/05/2022,224,224.325,224.52,223.5,0.76K,0.16%
12/02/2022,223.65,224.625,224.7,223.375,1.01K,-0.27%
12/01/2022,224.25,224.75,224.825,223.35,0.97K,-0.11%
11/30/2022,224.5,224.625,224.76,223.75,0.96K,0.11%
11/29/2022,224.25,224.5,224.635,223.75,1.03K,0.11%
11/28/2022,224,224.625,224.635,223.5,0.65K,-0.11%
11/25/2022,224.25,224.45,224.635,223.5,1.10K,0.16%
11/24/2022,223.9,224.4,224.45,223.75,1.06K,0.04%
11/23/2022,223.8,224.375,224.41,223.25,1.10K,0.02%
11/22/2022,223.75,224.5,224.525,223.2,0.97K,-0.11%
11/21/2022,224,224.25,224.525,222.375,0.63K,0.22%
11/18/2022,223.5,222.625,224.26,222.375,0.72K,0.68%
11/17/2022,222,222.25,222.725,221.85,0.02K,-0.02%
11/16/2022,222.05,221.5,222.475,221.5,0.01K,0.27%
11/15/2022,221.45,221.55,222.15,221.325,0.02K,0.20%
11/14/2022,221,221.625,221.825,221.325,0.02K,-0.05%
11/11/2022,221.11,221.25,221.83,221.25,0.01K,0.04%
11/10/2022,221.03,221.625,221.75,221.25,0.01K,0.01%
11/09/2022,221,221.635,221.645,221.5,0.00K,-0.05%
11/08/2022,221.1,221.5,221.75,221.3,0.01K,0.05%
